timestamp,pstate,clocks.current.graphics,clocks.current.memory,temperature.gpu,temperature.memory,power.draw,power.limit,utilization.gpu,utilization.memory,pcie.link.gen.current,pcie.link.width.current,ecc.errors.corrected.volatile.total,ecc.errors.uncorrected.volatile.total,ecc.errors.corrected.aggregate.total,ecc.errors.uncorrected.aggregate.total
2026/04/25 10:35:01.083, P0, 2722, 14001, 45, N/A, 68.71, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:02.087, P0, 2707, 14001, 45, N/A, 68.07, 350.00, 14, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:03.091, P0, 2722, 14001, 45, N/A, 68.31, 350.00, 13, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:04.092, P0, 2722, 14001, 45, N/A, 68.22, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:05.094, P0, 2722, 14001, 45, N/A, 68.55, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:06.109, P0, 2722, 14001, 45, N/A, 68.55, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:07.111, P0, 2722, 14001, 45, N/A, 68.50, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:08.114, P0, 2722, 14001, 45, N/A, 68.64, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:09.116, P0, 2722, 14001, 45, N/A, 68.67, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:10.119, P0, 2722, 14001, 45, N/A, 68.74, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:11.130, P0, 2722, 14001, 45, N/A, 68.76, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:12.138, P0, 2715, 14001, 45, N/A, 68.18, 350.00, 12, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:13.140, P0, 2715, 14001, 45, N/A, 68.15, 350.00, 13, 1, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:14.141, P0, 2730, 14001, 45, N/A, 68.42, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:15.142, P0, 2730, 14001, 45, N/A, 68.88, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:16.143, P0, 2730, 14001, 45, N/A, 68.87, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:17.158, P0, 2730, 14001, 45, N/A, 68.77, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:18.163, P0, 2730, 14001, 45, N/A, 68.76, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:19.164, P0, 2730, 14001, 45, N/A, 68.79, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:20.164, P0, 2730, 14001, 45, N/A, 68.71, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:21.178, P0, 2730, 14001, 45, N/A, 68.64, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
2026/04/25 10:35:22.183, P0, 2722, 14001, 45, N/A, 68.11, 350.00, 15, 2, 5, 16, [N/A], [N/A], [N/A], [N/A]
