"(PDH-CSV 4.0) (Pacific Summer Time)(420)","\\desktop-v5bn4sc\processor(_total)\% processor time","\\desktop-v5bn4sc\processor(15)\% processor time","\\desktop-v5bn4sc\processor(14)\% processor time","\\desktop-v5bn4sc\processor(13)\% processor time","\\desktop-v5bn4sc\processor(12)\% processor time","\\desktop-v5bn4sc\processor(11)\% processor time","\\desktop-v5bn4sc\processor(10)\% processor time","\\desktop-v5bn4sc\processor(9)\% processor time","\\desktop-v5bn4sc\processor(8)\% processor time","\\desktop-v5bn4sc\processor(7)\% processor time","\\desktop-v5bn4sc\processor(6)\% processor time","\\desktop-v5bn4sc\processor(5)\% processor time","\\desktop-v5bn4sc\processor(4)\% processor time","\\desktop-v5bn4sc\processor(3)\% processor time","\\desktop-v5bn4sc\processor(2)\% processor time","\\desktop-v5bn4sc\processor(1)\% processor time","\\desktop-v5bn4sc\processor(0)\% processor time","\\desktop-v5bn4sc\processor(_total)\% interrupt time","\\desktop-v5bn4sc\processor(15)\% interrupt time","\\desktop-v5bn4sc\processor(14)\% interrupt time","\\desktop-v5bn4sc\processor(13)\% interrupt time","\\desktop-v5bn4sc\processor(12)\% interrupt time","\\desktop-v5bn4sc\processor(11)\% interrupt time","\\desktop-v5bn4sc\processor(10)\% interrupt time","\\desktop-v5bn4sc\processor(9)\% interrupt time","\\desktop-v5bn4sc\processor(8)\% interrupt time","\\desktop-v5bn4sc\processor(7)\% interrupt time","\\desktop-v5bn4sc\processor(6)\% interrupt time","\\desktop-v5bn4sc\processor(5)\% interrupt time","\\desktop-v5bn4sc\processor(4)\% interrupt time","\\desktop-v5bn4sc\processor(3)\% interrupt time","\\desktop-v5bn4sc\processor(2)\% interrupt time","\\desktop-v5bn4sc\processor(1)\% interrupt time","\\desktop-v5bn4sc\processor(0)\% interrupt time","\\desktop-v5bn4sc\processor(_total)\% dpc time","\\desktop-v5bn4sc\processor(15)\% dpc time","\\desktop-v5bn4sc\processor(14)\% dpc time","\\desktop-v5bn4sc\processor(13)\% dpc time","\\desktop-v5bn4sc\processor(12)\% dpc time","\\desktop-v5bn4sc\processor(11)\% dpc time","\\desktop-v5bn4sc\processor(10)\% dpc time","\\desktop-v5bn4sc\processor(9)\% dpc time","\\desktop-v5bn4sc\processor(8)\% dpc time","\\desktop-v5bn4sc\processor(7)\% dpc time","\\desktop-v5bn4sc\processor(6)\% dpc time","\\desktop-v5bn4sc\processor(5)\% dpc time","\\desktop-v5bn4sc\processor(4)\% dpc time","\\desktop-v5bn4sc\processor(3)\% dpc time","\\desktop-v5bn4sc\processor(2)\% dpc time","\\desktop-v5bn4sc\processor(1)\% dpc time","\\desktop-v5bn4sc\processor(0)\% dpc time"
"04/24/2026 13:23:47.231"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"04/24/2026 13:23:48.245","15.637002812136724827","12.170035458405104478","2.9247760329740635221","1.3838994620688938042","1.3838994620688938042","12.170035458405104478","7.5474057456895842222","18.333541742025804666","12.170035458405104478","15.25178860021545546","50.691949731034448234","36.824060592887889243","30.660554309267197937","19.87441831293097394","16.792665171120635392","7.5474057456895842222","4.4656526038792438982","0.57783117949195350604","0","0","0","0","0","0","0","0","4.622629712715520256","3.0817531418103469854","1.5408765709051734927","0","0","0","0","0","0.48152269570660999332","0","0","0","0","0","0","0","0","0","0","3.0817531418103469854","4.622629712715520256","0","0","0","0"
"04/24/2026 13:23:49.247","11.251829782768352217","3.3609346142328133666","0.24354540824031989388","1.8022400112365666303","0.24354540824031989388","11.15440762921403639","4.919629217229060103","17.389186041199010901","3.3609346142328133666","29.858742865168974134","26.741353659176482438","22.065269850187753775","31.417437468165221759","3.3609346142328133666","17.389186041199010901","3.3609346142328133666","3.3609346142328133666","0.58450299438949748776","0","0","0","0","0","0","0","0","3.11738920599248992","1.55869460299624496","0","4.6760838089887348801","0","0","0","0","0.38966866292633167701","0","0","0","0","0","0","0","0","1.55869460299624496","3.11738920599248992","0","1.55869460299624496","0","0","0","0"
"04/24/2026 13:23:50.249","7.4884003359238393571","0","0.17715560195321611303","0","1.7368875456726939888","0.17715560195321611303","7.9758153205506161498","12.655011151709061323","1.7368875456726939888","20.453670870306460472","23.573134757745428658","15.774475039148027733","23.573134757745428658","0.17715560195321611303","9.5355472642700949137","4.8563514331116603984","0.17715560195321611303","0.97483995153800540034","0","0","0","0","0","0","0","0","3.1194638874389619687","7.7986597185974044777","4.6791958311584433972","0","0","0","0","0","0.58490197446591529751","0","0","0","0","0","0","0","0","3.1194638874389619687","1.5597319437194809844","1.5597319437194809844","3.1194638874389619687","0","0","0","0"
"04/24/2026 13:23:51.251","9.8190141332282543374","3.2869846294441451562","1.727097284757761475","1.727097284757761475","0.16720994007137779391","4.8468719741305292814","14.206196042248841138","22.005632765680761764","1.727097284757761475","7.9666466635032957555","23.56552011036714589","34.484731523171838319","11.086421352876064006","14.206196042248841138","9.5265340081896798807","3.2869846294441451562","3.2869846294441451562","0.97492709460923898668","0","0","1.5598873446863847914","0","0","0","0","0","0","3.1197746893727695827","3.1197746893727695827","6.2395493787455391654","1.5598873446863847914","0","0","0","0.097496702772526297465","0","0","0","0","0","0","0","0","0","0","0","1.5598873446863847914","0","0","0","0"
"04/24/2026 13:23:52.253","8.1295549967567488636","0.23825100894044881628","1.797028336925754477","0.23825100894044881628","0.23825100894044881628","6.4733603208816710151","12.708469632822893658","14.267246960808199319","6.4733603208816710151","9.5909149768522823365","25.178688256705338944","23.619910928720035059","6.4733603208816710151","8.0321376488669766758","6.4733603208816710151","3.3558056649110601377","4.9145829928963653543","0.48711666797354558067","0","0","0","0","0","0","0","0","3.1175546559706108773","1.5587773279853054387","1.5587773279853054387","0","1.5587773279853054387","0","0","0","0.19484467195443841425","0","0","0","0","0","0","0","0","1.5587773279853054387","0","0","1.5587773279853054387","0","0","0","0"
"04/24/2026 13:23:53.255","18.904074149523321324","11.10638897159287275","7.9873149004206940305","4.8682408292485153112","1.7491667580763259338","14.225463042765051469","7.9873149004206940305","17.344537113937231965","20.463611185109410684","4.8682408292485153112","81.285555572966913473","56.332963003589476614","29.820833398625946842","18.904074149523321324","9.5468519360067833901","11.10638897159287275","4.8682408292485153112","0.48735407599102464893","0","0","0","0","0","0","0","0","0","3.1190740711721800515","0","3.1190740711721800515","1.5595370355860900258","0","0","0","0.48735407599102464893","0","0","0","0","0","0","0","0","0","3.1190740711721800515","3.1190740711721800515","1.5595370355860900258","0","0","0","0"
"04/24/2026 13:23:54.257","13.796375274828099222","1.7044584211481805802","4.8249518046037938035","6.3851984963316006372","0.14421172942037374654","6.3851984963316006372","6.3851984963316006372","14.186431954970634806","6.3851984963316006372","20.427418721881863917","32.909392255704318586","56.313092631621408657","31.349145563976509976","11.065938571515021138","3.2647051128759874139","6.3851984963316006372","12.626185263242827972","0.58509500579263429287","0","0","0","0","0","0","1.5602466917278066116","0","0","1.5602466917278066116","1.5602466917278066116","3.1204933834556132233","1.5602466917278066116","0","0","0","1.1701800260064414427","0","0","0","0","0","0","0","0","3.1204933834556132233","4.6807400751834196129","9.3614801503668392257","1.5602466917278066116","0","0","0","0"
"04/24/2026 13:23:55.258","10.599752137351126535","3.2878439283933746928","3.2878439283933746928","3.2878439283933746928","1.7279704433674547559","4.8477174134192839716","4.8477174134192839716","9.5273378684970211339","9.5273378684970211339","22.006325748704334444","25.126072718756155666","25.126072718756155666","36.04518711393755126","4.8477174134192839716","7.9674643834711122992","6.4075908984452034645","1.7279704433674547559","1.2673959586847667325","0","0","0","0","0","0","0","0","3.1197469700518265512","7.799367425129566378","4.679620455077740715","3.1197469700518265512","1.5598734850259132756","0","0","0","0.38997336285163042291","0","0","0","0","0","0","0","0","0","4.679620455077740715","0","1.5598734850259132756","0","0","0","0"
"04/24/2026 13:23:56.260","10.037178134665690976","1.7524125864703532507","4.8713836154712915061","0.19292707196988390095","1.7524125864703532507","3.3118981009708226004","11.109325673473179563","18.906753245975526312","6.4308691299717608558","6.4308691299717608558","37.620579419981183378","14.228296702474118263","20.466238760475995662","11.109325673473179563","6.4308691299717608558","14.228296702474118263","1.7524125864703532507","0.097471587421514210847","0","0","0","0","0","0","0","0","1.55948551450047046","0","0","0","0","0","0","0","0.19493319413573562127","0","0","0","0","0","0","0","0","1.55948551450047046","0","0","1.55948551450047046","0","0","0","0"
