"(PDH-CSV 4.0) (Pacific Summer Time)(420)","\\DESKTOP-V5BN4SC\Processor(0)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(1)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(2)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(3)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(4)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(5)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(6)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(7)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(8)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(9)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(10)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(11)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(12)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(13)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(14)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(15)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(_Total)\% Processor Time","\\DESKTOP-V5BN4SC\Processor(0)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(1)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(2)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(3)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(4)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(5)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(6)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(7)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(8)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(9)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(10)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(11)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(12)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(13)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(14)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(15)\% DPC Time","\\DESKTOP-V5BN4SC\Processor(_Total)\% DPC Time"
"04/25/2026 10:33:06.708"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"04/25/2026 10:33:07.710","0.22935276386641945123","4.9061018530601856469","3.3471854899955966189","8.0239345791893619264","28.289847299028991756","17.37743275757688366","12.700683668383117464","18.936349120641470023","4.9061018530601856469","4.9061018530601856469","0.22935276386641945123","6.4650182161247737866","0.22935276386641945123","6.4650182161247737866","0.22935276386641945123","0.22935276386641945123","7.3419124117478755664","0","0","0","0","0","3.1178327261291745032","1.5589163630645872516","0","0","0","0","0","0","0","0","0","0.29229806520770051925"
"04/25/2026 10:33:08.715","0","3.6244278524259487817","3.6244278524259487817","0.5155384283106467791","14.505540836829467821","30.049987957405921435","12.951096124771821039","25.386653821232986417","3.6244278524259487817","9.8422067006565310265","0","3.6244278524259487817","2.0699831403682922293","0","0","0.5155384283106467791","6.5390042261994079098","0","0","0","0","3.1088894241152922326","1.5544447120576461163","4.663334136172938571","1.5544447120576461163","0","0","0","0","0","0","0","0","0.68006583085791116883"
"04/25/2026 10:33:09.719","5.0259589899475205499","3.4690074979794482957","12.810716449787895144","1.9120560060113755974","12.810716449787895144","36.164988829308988727","31.494134353404767523","26.823279877500549873","3.4690074979794482957","6.5829104819155936923","3.4690074979794482957","6.5829104819155936923","0.35510451404330289904","3.4690074979794482957","1.9120560060113755974","1.9120560060113755974","9.8914398757149140096","0","0","0","0","4.6708544759042203154","1.5569514919680733644","3.1139029839361467289","4.6708544759042203154","0","0","0","0","0","0","0","0","0.87578895091562203312"
"04/25/2026 10:33:10.722","3.4288707154068953642","6.5440684342647381655","14.332062731409344281","3.4288707154068953642","25.235254747411794085","45.484039919987765188","19.004859309696108483","37.69604562284316529","19.004859309696108483","12.77446387198042288","3.4288707154068953642","9.6592661531225800786","6.5440684342647381655","0.31367299654906366513","4.9864695748358167648","3.4288707154068953642","13.455909634743312253","0","0","0","0","4.6727965782867624256","1.5575988594289209566","1.5575988594289209566","0","0","0","0","0","0","0","0","0","0.48674839749245030207"
"04/25/2026 10:33:11.730","0.80795885196718320032","3.9077101378432121948","8.557337066657243696","8.557337066657243696","17.856590924285331567","38.004974282479487613","7.0074614237192411892","39.55484992541749989","8.557337066657243696","16.306715281347315738","8.557337066657243696","5.4575857807812262479","0.80795885196718320032","3.9077101378432121948","0.80795885196718320032","3.9077101378432121948","10.785279583679097115","0","0","0","0","0","1.5498756429380127209","0","0","0","0","0","0","0","0","0","0","0.096861028181054048547"
"04/25/2026 10:33:12.732","0","8.0075791277017920322","3.3299984053815512297","3.3299984053815512297","15.803546998235539434","37.632257035730035","3.3299984053815512297","15.803546998235539434","8.0075791277017920322","4.8891919794882943151","1.7708048312747970421","11.125966275915288861","1.7708048312747970421","0.21161125716805395669","0","4.8891919794882943151","7.3254356810946719136","0","0","0","0","6.2367742964269963224","4.6775807223202479079","1.5591935741067490806","0","0","0","0","0","0","0","0","0","0.7795967870533745403"
"04/25/2026 10:33:13.740","10.062214618103071828","13.163517562306415343","19.366123450713100596","10.062214618103071828","34.872638171729811063","42.625895532238168073","39.524592588034821006","24.018077867018117644","22.46742639491644411","14.7141690344080871","8.5115631460014000709","10.062214618103071828","5.4102602017980565563","6.9609116738997283136","11.612866090204743585","8.5115631460014000709","17.621643025641077429","0","0","0","0","6.2026058884066843646","6.2026058884066843646","3.1013029442033421823","3.1013029442033421823","0","0","0","0","0","0","0","0","1.162993566160964054"
"04/25/2026 10:33:14.745","5.2308871393205613742","6.7844791534300679103","16.106031238087059165","8.3380711675395620119","23.873991308634543884","40.963503463839032293","19.213215266306050921","36.30272742151053933","11.44525519575856265","12.998847209868058528","5.2308871393205613742","5.2308871393205613742","0.57011109699206530266","0.57011109699206530266","0.57011109699206530266","5.2308871393205613742","12.416247718829776403","0","0","0","0","4.6607760423284965157","0","7.7679600705474944888","1.5535920141094989866","0","0","0","0","0","0","0","0","0.87389923655742696162"
"04/25/2026 10:33:15.750","2.0463810820925742995","5.1560197778991572193","11.375297169512322171","5.1560197778991572193","6.710839125802447569","47.136142171288057057","11.375297169512322171","34.697587388061712943","6.710839125802447569","14.484935865318915305","5.1560197778991572193","6.710839125802447569","0.49156173418928306162","0.49156173418928306162","2.0463810820925742995","2.0463810820925742995","10.11200769319637871","0","0","0","0","0","4.6644580437098781545","1.5548193479032923481","0","0","0","0","0","0","0","0","0","0.38869986155390984228"
